WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA 
WA IH NO NO NO NO NO NO NO NO NO O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 NO NO NO NO NO NO NO NO NO IH WA 
WA NO NO NO NO NO NO NO NO NO NO O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA WA WA WA WA WA WA WA WA WA WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO B0 NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA WA WA WA WA WA WA WA WA WA WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
